id,nombre,costo,precio_venta
231,*ARC POPS EVOLU X24U BERRY-,2965.5,3295.0
232,*ARC POPS EVOLU X24U CEREZA-,2965.5,3295.0
233,*FLICS FRUTAS X14 U -,4230.0,4700.0
234,*CABSHAC AVELLANAS X24UN,0.0,0.0
235,*CABSHAC MARROC X24UN,0.0,0.0
236,*TRAVIATA REX X36,459.0,510.0
237,*TRAVIATA KESITAS X36,459.0,510.0
238,*COFLER COOKIES BON O BON X105GR X16U,1647.0,1830.0
239,*COFLER COOKIES CHOCO  X105GR X16U,1647.0,1830.0
240,*COFLER COOKIES BAÑADA X105GR X16U,1647.0,1830.0
241,*BAGGIO MANZANA X1 L-,1170.0,1300.0
242,*BAGGIO NARANJA X1 L -,1170.0,1300.0
243,*BAGGIO MULTIFRUTA X 1L-,1170.0,1300.0
244,*BAGGIO NARANJA X200 -,310.5,345.0
245,*BAGGIO MANZANA X200-,310.5,345.0
246,*BAGGIO MULTIFRUTA X200-,310.5,345.0
247,*BARILOCHITO CEREZAS X24U-,0.0,0.0
248,*BARILOCHITO UVAS X24-,0.0,0.0
249,*BARILOCHITO WHISKY X24-,0.0,0.0
250,*BARILOCHITO DULCE DE LECHE X24-,0.0,0.0
251,*BIC LAPICERAS X50 U AZUL-,488.7,543.0
252,*BIC LAPICERAS X50 U NEGRA-,488.7,543.0
253,*BICO LAPICERAS X50 U ROJA-,488.7,543.0
254,*BIC ENCENDEOR MAXI X12-,846.0,940.0
255,*BIC ENCENDEOR MINI X12-,675.0,750.0
256,*BILLIKEN RUEDITAS X12U.-,2166.3,2407.0
257,*BILLIKEN MAST. FRUTAL -,2256.3,2507.0
258,*BILLIKEN MAST. YOGHURT-,2256.3,2507.0
259,*TEMBLEKE BIYU ,7933.5,8815.0
260,*BIZNIKKE X28 GRS-,7785.0,8650.0
261,*BIZNIKKE  BLANCO X28GR-,7785.0,8650.0
262,*MECANO CHOCOLATE X19 GS RUEDA X24 U -,7560.0,8400.0
263,*MECANO BLANCO X19 GS RUEDA X24 U-,7560.0,8400.0
264,*MECANO TABLETA CHOCO X45 GS -,0.0,0.0
265,*MECANO TABLETA BLANCO X45 GS -,0.0,0.0
